"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200078_s_at",326.286105236711,-316.171279839105,-278.342905993658,-175.786585469681,-80.9561005291222,-110.901687952096,24.4492664594054,-255.784613232036,65.806087574805,-10.2629723281201
"200079_s_at",371.254606620233,-331.75026598121,-350.290541473743,-186.823058079809,-112.822406963486,-162.24320462223,-13.8441111236313,-311.998015554758,67.4098603588235,-12.4994808885718
"200080_s_at",295.30587229323,-262.381848174566,-236.350858730987,-132.982312963661,-85.8740945276638,-108.79205121858,-58.7638283843372,-122.057477124381,49.0902360494064,3.01192877019386
"200081_s_at",568.210795623879,-544.090788017995,-554.73927614731,-255.121272764929,-115.86548722637,-387.494779737788,-218.464465567762,-14.353855132185,101.866606104163,0.530094780497392
"200082_s_at",407.43406403732,-380.871619091046,-382.413955020106,-166.17959305518,-84.6970476703602,-254.467221686778,-181.281398595263,65.9361722817918,76.4026604021437,-13.8435061895221
"200083_at",220.216611994791,-192.31283981197,-152.272622550823,-108.622103710985,-69.6080644464941,-75.8800758166706,-45.7712875003567,-57.7652750097301,42.0917310758545,18.9750942058142
"200084_at",408.411757880215,-395.043861416218,-421.624979248385,-223.802849836565,-133.819671511492,-175.440915824981,4.12498949778187,-331.686622259204,53.8611280858834,4.02967684026688
"200085_s_at",167.039769663954,-135.317837739493,-135.510228469855,-81.1123893316152,-101.292441141608,-46.1937598010066,17.1270129792398,-74.3514941601919,44.1051481348863,4.99170450397872
"200086_s_at",386.535388916021,-379.197605943735,-384.773346123318,-182.691605154353,-67.1263923424483,-222.386125546101,-128.680022308417,-84.9755962733633,45.4801976102975,6.51795862807741
"200087_s_at",398.940051126225,-406.619817513213,-399.98195447886,-168.727162719707,-105.93214174207,-324.562590366718,-187.764108282984,-7.06182498386126,92.9553120282998,-0.0352048585789514
"200088_x_at",393.152442868071,-436.722946966887,-395.792050005668,-198.325258435236,-109.736331391508,-231.977770377844,-26.2374090851025,-235.351123698822,68.0024494040731,-25.5508691250608
"200089_s_at",146.682300672336,-124.574300810835,-107.331226203252,-131.852409627789,-110.012563690635,82.4608914427863,149.615796146728,-386.368487831748,13.7522615101437,10.8604700914442
"200090_at",252.97770466744,-231.807193133532,-224.08595552625,-100.814039272266,-89.1417008913418,-84.3153760125581,-41.5170547156046,-10.7995328453375,19.8025706053307,16.6034030651583
"200091_s_at",316.804138626726,-326.549920645651,-339.405118325719,-186.570297610708,-100.887247167223,-156.49867754228,-0.826450541277448,-248.605125848758,46.9675991818627,-6.6680486047788
"200092_s_at",351.729401324825,-356.781603897778,-392.235356905447,-195.649024285207,-99.5746043011898,-157.62761771984,-26.5437272021026,-264.923087218846,53.6729625780818,4.65371792743248
"200093_s_at",509.277070038863,-527.621035415515,-520.046959182749,-225.52258155242,-95.9822805515895,-338.049593696992,-187.472044032938,-97.4392746215658,73.2285465785008,-12.0812173739593
"200094_s_at",343.780665808146,-304.235376985926,-307.958299559732,-179.878770366349,-108.491092911213,-126.225625872397,-23.1337030257756,-244.888559121764,59.6290419659376,17.0168688913535
"200095_x_at",313.508037308227,-271.079267062679,-305.028577738065,-179.214684974937,-88.0829568492418,-95.230635517353,51.3412330039026,-328.166504095596,42.9621846166741,9.54516397149505
"200096_s_at",330.706061862192,-326.378798341271,-317.670060717849,-211.911872156271,-137.702382522512,-89.8316806403214,88.8059159285121,-480.732321822577,48.0140078181448,-5.64318292315037
"200097_s_at",308.040738802769,-301.807419341115,-240.991725522681,-125.660309676555,-93.6788627601023,-142.396640088582,-88.3566958161353,-63.6953368756508,46.8037475987913,4.09092235976154
